,Id,Direct,Name,CountryName,ImageUrl,HolidayUrl,IndirectPrice,HotelUrl,DirectPrice,IndirectQuoteDateTime,DirectQuoteDateTime,HotelPrice
0,NEWQ,False,Newquay,United Kingdom,https://content.skyscnr.com/512c3b4a0d533d92ee8f2aca0f2e2872/GettyImages-472989352.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newquay-holidays/cia-27545149,0,/hotels/search?entity_id=27545149&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,,,
1,LOND,True,London,United Kingdom,https://content.skyscnr.com/m/1a55403f63baf856/Large-London-England-Aug-2017-Brendan-van-Son-5.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/london-holidays/cia-27544008,23,/hotels/search?entity_id=27544008&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,11.0,2021-11-09T20:38:00,2021-11-13T15:06:00,
2,LIVE,False,Liverpool,United Kingdom,https://content.skyscnr.com/4d8148466079a5be8a7417ab17bc596f/GettyImages-470715430.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/liverpool-holidays/cia-27544132,55,/hotels/search?entity_id=27544132&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T09:48:00,,
3,NOTT,False,Nottingham,United Kingdom,https://content.skyscnr.com/08b29dbfb6c59f348c6ff686b73083aa/GettyImages-121081723.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/nottingham-holidays/cia-27548327,44,/hotels/search?entity_id=27548327&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T14:18:00,,
4,BOUR,False,Bournemouth,United Kingdom,https://content.skyscnr.com/4561c7e0759f5d8c6761a39877f5e4c2/GettyImages-527690869.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bournemouth-holidays/cia-27539516,97,/hotels/search?entity_id=27539516&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T10:10:00,,
5,BRIS,True,Bristol,United Kingdom,https://content.skyscnr.com/93b3b0db087d3993d4f57e7fbb17e507/GettyImages-461988835.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/bristol-holidays/cia-27539564,24,/hotels/search?entity_id=27539564&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,21.0,2021-11-13T08:32:00,2021-11-10T18:15:00,
6,MANC,True,Manchester,United Kingdom,https://content.skyscnr.com/d05e3e7b0fbfb30e92dbd8e2839b00b0/GettyImages-465556436.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/manchester-holidays/cia-27544856,24,/hotels/search?entity_id=27544856&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,11.0,2021-11-10T08:02:00,2021-11-13T14:22:00,59.0
7,GLAS,False,Glasgow,United Kingdom,https://content.skyscnr.com/769cd8c37b872118fc66395197b5c3e2/GettyImages-516440633.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/glasgow-holidays/cia-27541852,46,/hotels/search?entity_id=27541852&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T12:38:00,,
8,BIRM,False,Birmingham,United Kingdom,https://content.skyscnr.com/02167c9faf5b31748675b0f2cff5ad1e/stock-photo-gas-street-basin-the-cube-97809537.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/birmingham-holidays/cia-27538786,43,/hotels/search?entity_id=27538786&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-12T15:01:00,,
9,NEWC,False,Newcastle,United Kingdom,https://content.skyscnr.com/b803a8189485627a03bb3736ac7f765c/GettyImages-510958054.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/newcastle-holidays/cia-27545092,76,/hotels/search?entity_id=27545092&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-13T05:20:00,,
10,LEED,False,Leeds,United Kingdom,https://content.skyscnr.com/1ff357af8efc93f3c8c1f4a886942b5e/GettyImages-515150108.jpg,https://www.skyscanner.net/si/en-gb/eur/holidays/holidays-in/united-kingdom/leeds-holidays/cia-32834087,115,/hotels/search?entity_id=32834087&checkin=2021-12-01&checkout=2021-12-02&adults=1&rooms=1&locale=en-GB&market=SI&search_bar_expanded=true&open_checkin_selector=true,,2021-11-10T11:00:00,,
