,trace_id,flight,departure_date,price,origin,dest_city_code,timestamp
0,24,TSF_SVQ,2022-10-24,73.0,TSF,SEVI,2022-08-10 10:31:00
1,27,TSF_SVQ,2022-10-28,74.0,TSF,SEVI,2022-08-10 10:31:00
2,29,TSF_SVQ,2022-10-30,86.0,TSF,SEVI,2022-08-10 10:31:00
3,14,TSF_SVQ,2022-10-14,60.0,TSF,SEVI,2022-08-10 10:31:00
4,18,TSF_SVQ,2022-10-17,67.0,TSF,SEVI,2022-08-10 10:31:00
5,2,TSF_SVQ,2022-10-03,55.0,TSF,SEVI,2022-08-10 10:31:00
6,5,TSF_SVQ,2022-10-07,70.0,TSF,SEVI,2022-08-10 10:31:00
7,9,TSF_SVQ,2022-10-10,76.0,TSF,SEVI,2022-08-10 10:31:00
8,21,TSF_SVQ,2022-10-21,73.0,TSF,SEVI,2022-08-10 10:31:00
0,23,SVQ_TSF,2022-10-21,67.0,TSF,SEVI,2022-08-10 10:31:00
1,25,SVQ_TSF,2022-10-24,78.0,TSF,SEVI,2022-08-10 10:31:00
2,29,SVQ_TSF,2022-10-28,68.0,TSF,SEVI,2022-08-10 10:31:00
3,33,SVQ_TSF,2022-10-30,61.0,TSF,SEVI,2022-08-10 10:31:00
4,12,SVQ_TSF,2022-10-10,95.0,TSF,SEVI,2022-08-10 10:31:00
5,15,SVQ_TSF,2022-10-14,77.0,TSF,SEVI,2022-08-10 10:31:00
6,19,SVQ_TSF,2022-10-17,74.0,TSF,SEVI,2022-08-10 10:31:00
7,3,SVQ_TSF,2022-10-03,90.0,TSF,SEVI,2022-08-10 10:31:00
8,8,SVQ_TSF,2022-10-07,70.0,TSF,SEVI,2022-08-10 10:31:00
0,24,TSF_PMI,2022-10-24,27.0,TSF,PALM,2022-08-10 10:31:00
1,26,TSF_PMI,2022-10-26,27.0,TSF,PALM,2022-08-10 10:31:00
2,28,TSF_PMI,2022-10-28,33.0,TSF,PALM,2022-08-10 10:31:00
3,30,TSF_PMI,2022-10-30,30.0,TSF,PALM,2022-08-10 10:31:00
4,10,TSF_PMI,2022-10-10,11.0,TSF,PALM,2022-08-10 10:31:00
5,12,TSF_PMI,2022-10-12,33.0,TSF,PALM,2022-08-10 10:31:00
6,14,TSF_PMI,2022-10-14,27.0,TSF,PALM,2022-08-10 10:31:00
7,17,TSF_PMI,2022-10-17,33.0,TSF,PALM,2022-08-10 10:31:00
8,19,TSF_PMI,2022-10-19,33.0,TSF,PALM,2022-08-10 10:31:00
9,3,TSF_PMI,2022-10-03,50.0,TSF,PALM,2022-08-10 10:31:00
10,5,TSF_PMI,2022-10-05,37.0,TSF,PALM,2022-08-10 10:31:00
11,7,TSF_PMI,2022-10-07,18.0,TSF,PALM,2022-08-10 10:31:00
12,21,TSF_PMI,2022-10-21,22.0,TSF,PALM,2022-08-10 10:31:00
0,22,PMI_TSF,2022-10-19,38.0,TSF,PALM,2022-08-10 10:31:00
1,24,PMI_TSF,2022-10-21,38.0,TSF,PALM,2022-08-10 10:31:00
2,27,PMI_TSF,2022-10-24,22.0,TSF,PALM,2022-08-10 10:31:00
3,29,PMI_TSF,2022-10-26,22.0,TSF,PALM,2022-08-10 10:31:00
4,31,PMI_TSF,2022-10-28,23.0,TSF,PALM,2022-08-10 10:31:00
5,33,PMI_TSF,2022-10-30,30.0,TSF,PALM,2022-08-10 10:31:00
6,12,PMI_TSF,2022-10-10,43.0,TSF,PALM,2022-08-10 10:31:00
7,14,PMI_TSF,2022-10-12,27.0,TSF,PALM,2022-08-10 10:31:00
8,16,PMI_TSF,2022-10-14,23.0,TSF,PALM,2022-08-10 10:31:00
9,19,PMI_TSF,2022-10-17,27.0,TSF,PALM,2022-08-10 10:31:00
10,2,PMI_TSF,2022-10-03,42.0,TSF,PALM,2022-08-10 10:31:00
11,6,PMI_TSF,2022-10-05,38.0,TSF,PALM,2022-08-10 10:31:00
12,8,PMI_TSF,2022-10-07,19.0,TSF,PALM,2022-08-10 10:31:00
0,23,TSF_VLC,2022-10-22,47.0,TSF,VALE,2022-08-10 10:31:00
1,24,TSF_VLC,2022-10-25,28.0,TSF,VALE,2022-08-10 10:31:00
2,25,TSF_VLC,2022-10-26,31.0,TSF,VALE,2022-08-10 10:31:00
3,26,TSF_VLC,2022-10-27,45.0,TSF,VALE,2022-08-10 10:31:00
4,28,TSF_VLC,2022-10-29,78.0,TSF,VALE,2022-08-10 10:31:00
5,30,TSF_VLC,2022-10-30,36.0,TSF,VALE,2022-08-10 10:31:00
6,31,TSF_VLC,2022-10-31,46.0,TSF,VALE,2022-08-10 10:31:00
7,10,TSF_VLC,2022-10-11,40.0,TSF,VALE,2022-08-10 10:31:00
8,12,TSF_VLC,2022-10-12,43.0,TSF,VALE,2022-08-10 10:31:00
9,13,TSF_VLC,2022-10-13,36.0,TSF,VALE,2022-08-10 10:31:00
10,15,TSF_VLC,2022-10-15,56.0,TSF,VALE,2022-08-10 10:31:00
11,18,TSF_VLC,2022-10-18,25.0,TSF,VALE,2022-08-10 10:31:00
12,19,TSF_VLC,2022-10-19,67.0,TSF,VALE,2022-08-10 10:31:00
13,0,TSF_VLC,2022-10-01,45.0,TSF,VALE,2022-08-10 10:31:00
14,4,TSF_VLC,2022-10-04,18.0,TSF,VALE,2022-08-10 10:31:00
15,5,TSF_VLC,2022-10-05,18.0,TSF,VALE,2022-08-10 10:31:00
16,6,TSF_VLC,2022-10-06,18.0,TSF,VALE,2022-08-10 10:31:00
17,8,TSF_VLC,2022-10-08,66.0,TSF,VALE,2022-08-10 10:31:00
18,21,TSF_VLC,2022-10-20,19.0,TSF,VALE,2022-08-10 10:31:00
0,22,VLC_TSF,2022-10-18,47.0,TSF,VALE,2022-08-10 10:31:00
1,24,VLC_TSF,2022-10-19,22.0,TSF,VALE,2022-08-10 10:31:00
2,25,VLC_TSF,2022-10-20,18.0,TSF,VALE,2022-08-10 10:31:00
3,27,VLC_TSF,2022-10-22,32.0,TSF,VALE,2022-08-10 10:31:00
4,30,VLC_TSF,2022-10-25,70.0,TSF,VALE,2022-08-10 10:31:00
5,31,VLC_TSF,2022-10-26,18.0,TSF,VALE,2022-08-10 10:31:00
6,32,VLC_TSF,2022-10-27,24.0,TSF,VALE,2022-08-10 10:31:00
8,35,VLC_TSF,2022-10-29,50.0,TSF,VALE,2022-08-10 10:31:00
9,14,VLC_TSF,2022-10-11,20.0,TSF,VALE,2022-08-10 10:31:00
10,36,VLC_TSF,2022-10-30,31.0,TSF,VALE,2022-08-10 10:31:00
11,37,VLC_TSF,2022-10-31,39.0,TSF,VALE,2022-08-10 10:31:00
12,16,VLC_TSF,2022-10-12,50.0,TSF,VALE,2022-08-10 10:31:00
13,17,VLC_TSF,2022-10-13,33.0,TSF,VALE,2022-08-10 10:31:00
14,18,VLC_TSF,2022-10-15,78.0,TSF,VALE,2022-08-10 10:31:00
15,1,VLC_TSF,2022-10-01,86.0,TSF,VALE,2022-08-10 10:31:00
16,5,VLC_TSF,2022-10-04,28.0,TSF,VALE,2022-08-10 10:31:00
17,7,VLC_TSF,2022-10-05,26.0,TSF,VALE,2022-08-10 10:31:00
18,8,VLC_TSF,2022-10-06,24.0,TSF,VALE,2022-08-10 10:31:00
0,2,TSF_ACE,2022-10-07,58.0,TSF,ARRE,2022-08-10 10:31:00
1,3,TSF_ACE,2022-10-14,47.0,TSF,ARRE,2022-08-10 10:31:00
2,6,TSF_ACE,2022-10-21,44.0,TSF,ARRE,2022-08-10 10:31:00
0,4,ACE_TSF,2022-10-07,47.0,TSF,ARRE,2022-08-10 10:31:00
1,6,ACE_TSF,2022-10-14,51.0,TSF,ARRE,2022-08-10 10:31:00
2,7,ACE_TSF,2022-10-21,30.0,TSF,ARRE,2022-08-10 10:31:00
3,9,ACE_TSF,2022-10-28,57.0,TSF,ARRE,2022-08-10 10:31:00
0,11,TSF_ALC,2022-10-23,44.0,TSF,ALIC,2022-08-10 10:32:00
1,14,TSF_ALC,2022-10-27,26.0,TSF,ALIC,2022-08-10 10:32:00
2,18,TSF_ALC,2022-10-31,50.0,TSF,ALIC,2022-08-10 10:32:00
3,1,TSF_ALC,2022-10-02,69.0,TSF,ALIC,2022-08-10 10:32:00
5,6,TSF_ALC,2022-10-13,32.0,TSF,ALIC,2022-08-10 10:32:00
6,7,TSF_ALC,2022-10-16,40.0,TSF,ALIC,2022-08-10 10:32:00
7,9,TSF_ALC,2022-10-20,24.0,TSF,ALIC,2022-08-10 10:32:00
0,11,ALC_TSF,2022-10-13,31.0,TSF,ALIC,2022-08-10 10:32:00
1,13,ALC_TSF,2022-10-16,22.0,TSF,ALIC,2022-08-10 10:32:00
2,14,ALC_TSF,2022-10-20,18.0,TSF,ALIC,2022-08-10 10:32:00
3,1,ALC_TSF,2022-10-02,31.0,TSF,ALIC,2022-08-10 10:32:00
4,6,ALC_TSF,2022-10-06,70.0,TSF,ALIC,2022-08-10 10:32:00
5,9,ALC_TSF,2022-10-09,41.0,TSF,ALIC,2022-08-10 10:32:00
6,20,ALC_TSF,2022-10-31,26.0,TSF,ALIC,2022-08-10 10:32:00
5,18,TSF_TFS,2022-10-15,99.0,TSF,TENE,2022-08-10 10:32:00
8,21,TFS_TSF,2022-10-18,67.0,TSF,TENE,2022-08-10 10:32:00
0,22,TSF_AGP,2022-10-17,20.0,TSF,MALA,2022-08-10 10:32:00
1,24,TSF_AGP,2022-10-19,34.0,TSF,MALA,2022-08-10 10:32:00
2,27,TSF_AGP,2022-10-21,32.0,TSF,MALA,2022-08-10 10:32:00
3,29,TSF_AGP,2022-10-23,35.0,TSF,MALA,2022-08-10 10:32:00
4,31,TSF_AGP,2022-10-24,50.0,TSF,MALA,2022-08-10 10:32:00
5,10,TSF_AGP,2022-10-07,47.0,TSF,MALA,2022-08-10 10:32:00
6,33,TSF_AGP,2022-10-26,25.0,TSF,MALA,2022-08-10 10:32:00
7,12,TSF_AGP,2022-10-09,66.0,TSF,MALA,2022-08-10 10:32:00
8,35,TSF_AGP,2022-10-28,32.0,TSF,MALA,2022-08-10 10:32:00
9,15,TSF_AGP,2022-10-10,47.0,TSF,MALA,2022-08-10 10:32:00
10,17,TSF_AGP,2022-10-12,43.0,TSF,MALA,2022-08-10 10:32:00
11,39,TSF_AGP,2022-10-31,59.0,TSF,MALA,2022-08-10 10:32:00
12,2,TSF_AGP,2022-10-02,57.0,TSF,MALA,2022-08-10 10:32:00
13,4,TSF_AGP,2022-10-03,97.0,TSF,MALA,2022-08-10 10:32:00
14,7,TSF_AGP,2022-10-05,45.0,TSF,MALA,2022-08-10 10:32:00
15,20,TSF_AGP,2022-10-14,32.0,TSF,MALA,2022-08-10 10:32:00
16,21,TSF_AGP,2022-10-16,81.0,TSF,MALA,2022-08-10 10:32:00
0,23,AGP_TSF,2022-10-23,67.0,TSF,MALA,2022-08-10 10:32:00
1,24,AGP_TSF,2022-10-24,26.0,TSF,MALA,2022-08-10 10:32:00
2,25,AGP_TSF,2022-10-26,29.0,TSF,MALA,2022-08-10 10:32:00
3,27,AGP_TSF,2022-10-28,38.0,TSF,MALA,2022-08-10 10:32:00
4,30,AGP_TSF,2022-10-31,25.0,TSF,MALA,2022-08-10 10:32:00
5,11,AGP_TSF,2022-10-12,31.0,TSF,MALA,2022-08-10 10:32:00
6,13,AGP_TSF,2022-10-14,37.0,TSF,MALA,2022-08-10 10:32:00
8,17,AGP_TSF,2022-10-17,33.0,TSF,MALA,2022-08-10 10:32:00
9,19,AGP_TSF,2022-10-19,20.0,TSF,MALA,2022-08-10 10:32:00
10,1,AGP_TSF,2022-10-02,49.0,TSF,MALA,2022-08-10 10:32:00
11,2,AGP_TSF,2022-10-03,45.0,TSF,MALA,2022-08-10 10:32:00
12,4,AGP_TSF,2022-10-05,36.0,TSF,MALA,2022-08-10 10:32:00
13,6,AGP_TSF,2022-10-07,52.0,TSF,MALA,2022-08-10 10:32:00
15,9,AGP_TSF,2022-10-10,53.0,TSF,MALA,2022-08-10 10:32:00
16,21,AGP_TSF,2022-10-21,58.0,TSF,MALA,2022-08-10 10:32:00
0,23,TSF_BUD,2022-10-29,28.0,TSF,BUDA,2022-08-10 10:33:00
1,25,TSF_BUD,2022-10-31,28.0,TSF,BUDA,2022-08-10 10:33:00
2,10,TSF_BUD,2022-10-15,13.0,TSF,BUDA,2022-08-10 10:33:00
3,11,TSF_BUD,2022-10-16,18.0,TSF,BUDA,2022-08-10 10:33:00
4,13,TSF_BUD,2022-10-19,20.0,TSF,BUDA,2022-08-10 10:33:00
5,16,TSF_BUD,2022-10-22,11.0,TSF,BUDA,2022-08-10 10:33:00
6,18,TSF_BUD,2022-10-23,56.0,TSF,BUDA,2022-08-10 10:33:00
7,0,TSF_BUD,2022-10-01,24.0,TSF,BUDA,2022-08-10 10:33:00
8,1,TSF_BUD,2022-10-02,24.0,TSF,BUDA,2022-08-10 10:33:00
9,3,TSF_BUD,2022-10-05,28.0,TSF,BUDA,2022-08-10 10:33:00
10,5,TSF_BUD,2022-10-08,11.0,TSF,BUDA,2022-08-10 10:33:00
11,6,TSF_BUD,2022-10-09,12.0,TSF,BUDA,2022-08-10 10:33:00
12,8,TSF_BUD,2022-10-12,20.0,TSF,BUDA,2022-08-10 10:33:00
13,20,TSF_BUD,2022-10-26,13.0,TSF,BUDA,2022-08-10 10:33:00
0,12,BUD_TSF,2022-10-15,12.0,TSF,BUDA,2022-08-10 10:33:00
1,13,BUD_TSF,2022-10-16,16.0,TSF,BUDA,2022-08-10 10:33:00
2,14,BUD_TSF,2022-10-19,12.0,TSF,BUDA,2022-08-10 10:33:00
3,17,BUD_TSF,2022-10-22,12.0,TSF,BUDA,2022-08-10 10:33:00
4,18,BUD_TSF,2022-10-23,26.0,TSF,BUDA,2022-08-10 10:33:00
5,19,BUD_TSF,2022-10-26,19.0,TSF,BUDA,2022-08-10 10:33:00
6,0,BUD_TSF,2022-10-01,28.0,TSF,BUDA,2022-08-10 10:33:00
7,1,BUD_TSF,2022-10-02,27.0,TSF,BUDA,2022-08-10 10:33:00
8,4,BUD_TSF,2022-10-05,12.0,TSF,BUDA,2022-08-10 10:33:00
9,7,BUD_TSF,2022-10-08,20.0,TSF,BUDA,2022-08-10 10:33:00
10,8,BUD_TSF,2022-10-09,17.0,TSF,BUDA,2022-08-10 10:33:00
11,20,BUD_TSF,2022-10-29,11.0,TSF,BUDA,2022-08-10 10:33:00
12,10,BUD_TSF,2022-10-12,20.0,TSF,BUDA,2022-08-10 10:33:00
13,21,BUD_TSF,2022-10-31,21.0,TSF,BUDA,2022-08-10 10:33:00
0,11,TSF_BLL,2022-10-24,37.0,TSF,BILL,2022-08-10 10:33:00
1,12,TSF_BLL,2022-10-28,14.0,TSF,BILL,2022-08-10 10:33:00
2,0,TSF_BLL,2022-10-02,15.0,TSF,BILL,2022-08-10 10:33:00
3,1,TSF_BLL,2022-10-03,42.0,TSF,BILL,2022-08-10 10:33:00
4,2,TSF_BLL,2022-10-07,15.0,TSF,BILL,2022-08-10 10:33:00
5,3,TSF_BLL,2022-10-09,15.0,TSF,BILL,2022-08-10 10:33:00
6,4,TSF_BLL,2022-10-10,13.0,TSF,BILL,2022-08-10 10:33:00
7,5,TSF_BLL,2022-10-14,14.0,TSF,BILL,2022-08-10 10:33:00
8,6,TSF_BLL,2022-10-16,13.0,TSF,BILL,2022-08-10 10:33:00
9,7,TSF_BLL,2022-10-17,21.0,TSF,BILL,2022-08-10 10:33:00
0,11,BLL_TSF,2022-10-24,15.0,TSF,BILL,2022-08-10 10:33:00
1,12,BLL_TSF,2022-10-28,15.0,TSF,BILL,2022-08-10 10:33:00
2,0,BLL_TSF,2022-10-02,14.0,TSF,BILL,2022-08-10 10:33:00
3,1,BLL_TSF,2022-10-07,55.0,TSF,BILL,2022-08-10 10:33:00
4,3,BLL_TSF,2022-10-09,15.0,TSF,BILL,2022-08-10 10:33:00
5,4,BLL_TSF,2022-10-10,14.0,TSF,BILL,2022-08-10 10:33:00
7,7,BLL_TSF,2022-10-16,92.0,TSF,BILL,2022-08-10 10:33:00
8,9,BLL_TSF,2022-10-21,15.0,TSF,BILL,2022-08-10 10:33:00
9,10,BLL_TSF,2022-10-23,13.0,TSF,BILL,2022-08-10 10:33:00
0,22,TSF_CRL,2022-10-20,15.0,TSF,BRUS,2022-08-10 10:33:00
1,23,TSF_CRL,2022-10-21,27.0,TSF,BRUS,2022-08-10 10:33:00
2,24,TSF_CRL,2022-10-22,19.0,TSF,BRUS,2022-08-10 10:33:00
3,25,TSF_CRL,2022-10-23,39.0,TSF,BRUS,2022-08-10 10:33:00
4,26,TSF_CRL,2022-10-24,24.0,TSF,BRUS,2022-08-10 10:33:00
5,27,TSF_CRL,2022-10-25,15.0,TSF,BRUS,2022-08-10 10:33:00
6,28,TSF_CRL,2022-10-26,19.0,TSF,BRUS,2022-08-10 10:33:00
7,29,TSF_CRL,2022-10-27,32.0,TSF,BRUS,2022-08-10 10:33:00
8,30,TSF_CRL,2022-10-28,15.0,TSF,BRUS,2022-08-10 10:33:00
9,32,TSF_CRL,2022-10-29,47.0,TSF,BRUS,2022-08-10 10:33:00
10,11,TSF_CRL,2022-10-10,23.0,TSF,BRUS,2022-08-10 10:33:00
11,12,TSF_CRL,2022-10-11,15.0,TSF,BRUS,2022-08-10 10:33:00
12,34,TSF_CRL,2022-10-30,30.0,TSF,BRUS,2022-08-10 10:33:00
13,13,TSF_CRL,2022-10-12,15.0,TSF,BRUS,2022-08-10 10:33:00
14,35,TSF_CRL,2022-10-31,25.0,TSF,BRUS,2022-08-10 10:33:00
15,14,TSF_CRL,2022-10-13,17.0,TSF,BRUS,2022-08-10 10:33:00
16,15,TSF_CRL,2022-10-14,15.0,TSF,BRUS,2022-08-10 10:33:00
17,16,TSF_CRL,2022-10-15,22.0,TSF,BRUS,2022-08-10 10:33:00
18,17,TSF_CRL,2022-10-16,45.0,TSF,BRUS,2022-08-10 10:33:00
19,19,TSF_CRL,2022-10-17,15.0,TSF,BRUS,2022-08-10 10:33:00
20,0,TSF_CRL,2022-10-01,24.0,TSF,BRUS,2022-08-10 10:33:00
21,1,TSF_CRL,2022-10-02,45.0,TSF,BRUS,2022-08-10 10:33:00
22,3,TSF_CRL,2022-10-03,23.0,TSF,BRUS,2022-08-10 10:33:00
23,4,TSF_CRL,2022-10-04,18.0,TSF,BRUS,2022-08-10 10:33:00
24,5,TSF_CRL,2022-10-05,17.0,TSF,BRUS,2022-08-10 10:33:00
25,6,TSF_CRL,2022-10-06,16.0,TSF,BRUS,2022-08-10 10:33:00
26,7,TSF_CRL,2022-10-07,15.0,TSF,BRUS,2022-08-10 10:33:00
27,8,TSF_CRL,2022-10-08,31.0,TSF,BRUS,2022-08-10 10:33:00
28,9,TSF_CRL,2022-10-09,75.0,TSF,BRUS,2022-08-10 10:33:00
29,20,TSF_CRL,2022-10-18,15.0,TSF,BRUS,2022-08-10 10:33:00
30,21,TSF_CRL,2022-10-19,19.0,TSF,BRUS,2022-08-10 10:33:00
0,22,CRL_TSF,2022-10-22,31.0,TSF,BRUS,2022-08-10 10:33:00
1,23,CRL_TSF,2022-10-23,16.0,TSF,BRUS,2022-08-10 10:33:00
2,24,CRL_TSF,2022-10-24,15.0,TSF,BRUS,2022-08-10 10:33:00
3,25,CRL_TSF,2022-10-25,19.0,TSF,BRUS,2022-08-10 10:33:00
4,26,CRL_TSF,2022-10-26,17.0,TSF,BRUS,2022-08-10 10:33:00
5,27,CRL_TSF,2022-10-27,15.0,TSF,BRUS,2022-08-10 10:33:00
6,28,CRL_TSF,2022-10-28,55.0,TSF,BRUS,2022-08-10 10:33:00
7,29,CRL_TSF,2022-10-29,24.0,TSF,BRUS,2022-08-10 10:33:00
8,30,CRL_TSF,2022-10-30,31.0,TSF,BRUS,2022-08-10 10:33:00
9,31,CRL_TSF,2022-10-31,31.0,TSF,BRUS,2022-08-10 10:33:00
10,10,CRL_TSF,2022-10-11,18.0,TSF,BRUS,2022-08-10 10:33:00
11,11,CRL_TSF,2022-10-12,17.0,TSF,BRUS,2022-08-10 10:33:00
12,12,CRL_TSF,2022-10-13,23.0,TSF,BRUS,2022-08-10 10:33:00
13,13,CRL_TSF,2022-10-14,19.0,TSF,BRUS,2022-08-10 10:33:00
14,14,CRL_TSF,2022-10-15,15.0,TSF,BRUS,2022-08-10 10:33:00
15,15,CRL_TSF,2022-10-16,28.0,TSF,BRUS,2022-08-10 10:33:00
16,16,CRL_TSF,2022-10-17,17.0,TSF,BRUS,2022-08-10 10:33:00
17,17,CRL_TSF,2022-10-18,14.0,TSF,BRUS,2022-08-10 10:33:00
18,18,CRL_TSF,2022-10-19,16.0,TSF,BRUS,2022-08-10 10:33:00
19,19,CRL_TSF,2022-10-20,15.0,TSF,BRUS,2022-08-10 10:33:00
20,0,CRL_TSF,2022-10-01,16.0,TSF,BRUS,2022-08-10 10:33:00
21,1,CRL_TSF,2022-10-02,16.0,TSF,BRUS,2022-08-10 10:33:00
22,2,CRL_TSF,2022-10-03,15.0,TSF,BRUS,2022-08-10 10:33:00
23,3,CRL_TSF,2022-10-04,15.0,TSF,BRUS,2022-08-10 10:33:00
24,4,CRL_TSF,2022-10-05,15.0,TSF,BRUS,2022-08-10 10:33:00
25,5,CRL_TSF,2022-10-06,19.0,TSF,BRUS,2022-08-10 10:33:00
26,6,CRL_TSF,2022-10-07,18.0,TSF,BRUS,2022-08-10 10:33:00
27,7,CRL_TSF,2022-10-08,17.0,TSF,BRUS,2022-08-10 10:33:00
28,8,CRL_TSF,2022-10-09,15.0,TSF,BRUS,2022-08-10 10:33:00
29,9,CRL_TSF,2022-10-10,16.0,TSF,BRUS,2022-08-10 10:33:00
30,21,CRL_TSF,2022-10-21,82.0,TSF,BRUS,2022-08-10 10:33:00
0,0,TSF_SOF,2022-10-01,14.0,TSF,SOFI,2022-08-10 10:33:00
1,1,TSF_SOF,2022-10-03,34.0,TSF,SOFI,2022-08-10 10:33:00
2,2,TSF_SOF,2022-10-08,13.0,TSF,SOFI,2022-08-10 10:33:00
3,3,TSF_SOF,2022-10-10,30.0,TSF,SOFI,2022-08-10 10:33:00
4,4,TSF_SOF,2022-10-15,13.0,TSF,SOFI,2022-08-10 10:33:00
5,5,TSF_SOF,2022-10-17,17.0,TSF,SOFI,2022-08-10 10:33:00
6,6,TSF_SOF,2022-10-21,13.0,TSF,SOFI,2022-08-10 10:33:00
7,7,TSF_SOF,2022-10-22,13.0,TSF,SOFI,2022-08-10 10:33:00
8,8,TSF_SOF,2022-10-28,18.0,TSF,SOFI,2022-08-10 10:33:00
9,9,TSF_SOF,2022-10-29,13.0,TSF,SOFI,2022-08-10 10:33:00
10,10,TSF_SOF,2022-10-30,14.0,TSF,SOFI,2022-08-10 10:33:00
0,22,SOF_TSF,2022-10-29,14.0,TSF,SOFI,2022-08-10 10:34:00
1,23,SOF_TSF,2022-10-30,19.0,TSF,SOFI,2022-08-10 10:34:00
2,10,SOF_TSF,2022-10-14,21.0,TSF,SOFI,2022-08-10 10:34:00
3,11,SOF_TSF,2022-10-15,14.0,TSF,SOFI,2022-08-10 10:34:00
4,12,SOF_TSF,2022-10-17,16.0,TSF,SOFI,2022-08-10 10:34:00
5,16,SOF_TSF,2022-10-21,18.0,TSF,SOFI,2022-08-10 10:34:00
6,17,SOF_TSF,2022-10-22,14.0,TSF,SOFI,2022-08-10 10:34:00
7,19,SOF_TSF,2022-10-24,13.0,TSF,SOFI,2022-08-10 10:34:00
8,0,SOF_TSF,2022-10-01,14.0,TSF,SOFI,2022-08-10 10:34:00
9,2,SOF_TSF,2022-10-03,18.0,TSF,SOFI,2022-08-10 10:34:00
10,5,SOF_TSF,2022-10-07,29.0,TSF,SOFI,2022-08-10 10:34:00
11,6,SOF_TSF,2022-10-08,14.0,TSF,SOFI,2022-08-10 10:34:00
12,7,SOF_TSF,2022-10-10,21.0,TSF,SOFI,2022-08-10 10:34:00
13,21,SOF_TSF,2022-10-28,13.0,TSF,SOFI,2022-08-10 10:34:00
0,11,TSF_SKP,2022-10-25,26.0,TSF,SKOP,2022-08-10 10:34:00
1,14,TSF_SKP,2022-10-29,25.0,TSF,SKOP,2022-08-10 10:34:00
2,0,TSF_SKP,2022-10-01,25.0,TSF,SKOP,2022-08-10 10:34:00
3,1,TSF_SKP,2022-10-04,26.0,TSF,SKOP,2022-08-10 10:34:00
4,4,TSF_SKP,2022-10-08,25.0,TSF,SKOP,2022-08-10 10:34:00
5,6,TSF_SKP,2022-10-11,40.0,TSF,SKOP,2022-08-10 10:34:00
6,8,TSF_SKP,2022-10-15,50.0,TSF,SKOP,2022-08-10 10:34:00
7,10,TSF_SKP,2022-10-22,25.0,TSF,SKOP,2022-08-10 10:34:00
0,0,SKP_TSF,2022-10-01,23.0,TSF,SKOP,2022-08-10 10:34:00
1,1,SKP_TSF,2022-10-04,25.0,TSF,SKOP,2022-08-10 10:34:00
2,2,SKP_TSF,2022-10-08,28.0,TSF,SKOP,2022-08-10 10:34:00
3,4,SKP_TSF,2022-10-11,25.0,TSF,SKOP,2022-08-10 10:34:00
4,5,SKP_TSF,2022-10-15,25.0,TSF,SKOP,2022-08-10 10:34:00
5,6,SKP_TSF,2022-10-22,26.0,TSF,SKOP,2022-08-10 10:34:00
6,7,SKP_TSF,2022-10-25,25.0,TSF,SKOP,2022-08-10 10:34:00
0,0,TSF_SJJ,2022-10-02,25.0,TSF,SARA,2022-08-10 10:34:00
1,2,TSF_SJJ,2022-10-06,25.0,TSF,SARA,2022-08-10 10:34:00
2,3,TSF_SJJ,2022-10-09,25.0,TSF,SARA,2022-08-10 10:34:00
3,4,TSF_SJJ,2022-10-13,25.0,TSF,SARA,2022-08-10 10:34:00
4,5,TSF_SJJ,2022-10-16,25.0,TSF,SARA,2022-08-10 10:34:00
5,7,TSF_SJJ,2022-10-20,25.0,TSF,SARA,2022-08-10 10:34:00
6,8,TSF_SJJ,2022-10-23,25.0,TSF,SARA,2022-08-10 10:34:00
7,9,TSF_SJJ,2022-10-27,25.0,TSF,SARA,2022-08-10 10:34:00
0,1,SJJ_TSF,2022-10-02,26.0,TSF,SARA,2022-08-10 10:34:00
1,2,SJJ_TSF,2022-10-06,26.0,TSF,SARA,2022-08-10 10:34:00
2,3,SJJ_TSF,2022-10-09,25.0,TSF,SARA,2022-08-10 10:34:00
3,4,SJJ_TSF,2022-10-13,26.0,TSF,SARA,2022-08-10 10:34:00
4,5,SJJ_TSF,2022-10-16,25.0,TSF,SARA,2022-08-10 10:34:00
5,6,SJJ_TSF,2022-10-20,26.0,TSF,SARA,2022-08-10 10:34:00
6,7,SJJ_TSF,2022-10-23,25.0,TSF,SARA,2022-08-10 10:34:00
7,8,SJJ_TSF,2022-10-27,26.0,TSF,SARA,2022-08-10 10:34:00
1,44,TSF_BER,2022-10-31,35.0,TSF,BERL,2022-08-10 10:34:00
2,25,TSF_BER,2022-10-17,67.0,TSF,BERL,2022-08-10 10:34:00
3,26,TSF_BER,2022-10-18,13.0,TSF,BERL,2022-08-10 10:34:00
4,27,TSF_BER,2022-10-19,18.0,TSF,BERL,2022-08-10 10:34:00
5,28,TSF_BER,2022-10-20,13.0,TSF,BERL,2022-08-10 10:34:00
6,30,TSF_BER,2022-10-21,48.0,TSF,BERL,2022-08-10 10:34:00
7,31,TSF_BER,2022-10-22,29.0,TSF,BERL,2022-08-10 10:34:00
8,10,TSF_BER,2022-10-08,21.0,TSF,BERL,2022-08-10 10:34:00
9,32,TSF_BER,2022-10-23,69.0,TSF,BERL,2022-08-10 10:34:00
11,34,TSF_BER,2022-10-24,63.0,TSF,BERL,2022-08-10 10:34:00
12,14,TSF_BER,2022-10-10,89.0,TSF,BERL,2022-08-10 10:34:00
13,36,TSF_BER,2022-10-25,16.0,TSF,BERL,2022-08-10 10:34:00
